AnimalID,License Number,License Number 2,Deadline,Deadline 2,Name,Name 2,ID1,ID2,Business Number,Business Number 2,Animal Name,Animal Name 2,Level,Level 2,Objective,Objective 2,Original,Original 1,Stamp And Sign,Stamp And Sign 2
MTa,CL-105,CL-036,2022/11/2,2022/11/3,梁静如,張庭峰,P14223,P14224,78945632,54931491,Macrochelys temminckii,,III,,繁殖,繁殖,美國,,I_Stamp_5,
MTb,PL-042,PL-043,2022/11/2,2022/11/3,譚永輪,謝榕,P14225,P14226, , ,Macrochelys temminckii,,III,,寵物,寵物,美國,,I_Stamp_5,
MTaF,CL-105,CL-036,2022/11/2,2022/11/3,梁静如,張庭峰,P14223,P1424,78945632,54931491,Macrochelys temminckii,,III,,繁殖,繁殖,美國,,I_Stamp_5,
MTbF,PL-042,PL-043,2022/11/2,2022/11/3,譚永輪,謝榕,P14225,P14226, , ,Macrochelys temminckii,,III,,寵物,寵物,美國,,I_Stamp_5,
OLa,CL-037,CL-038,2022/11/18,2022/11/17,陳情表,牛大力,P48960,P48961,10847290,76991390,Otus lettia,,II,,販售,繁殖,孟加拉,,I_Stamp_5,
OLb,PL-044,PL-045,2022/10/18,2022/10/19,張翠花,李久旦,P48962,P48963, , ,Otus lettia,,II,,寵物,寵物,孟加拉,,I_Stamp_5,
OLaF,CL-037,CL-038,2022/11/18,2022/11/17,陳情表,牛大力,P48960,P48961,10847290, ,Otus lettia,,II,,販售,繁殖,孟加拉,,I_Stamp_5,
OLbF,PL-044,PL-045,2022/10/18,2022/10/19,張翠花,李久旦,P48962,P48963, , ,Otus lettia,,II,,寵物,寵物,孟加拉,,I_Stamp_6,I_Stamp_7
CUa,CL-110,CL-039,2022/12/23,2022/12/24,羅玉婷,巫至陽,P88806,P84322,37535938,35279265,Cheilinus undulatus,,II,,販售,繁殖,印度,,I_Stamp_5,
CUb,PL-045,PL-046,2022/10/19,2022/12/24,李久旦,王怡如,P84323,P84324, , ,Cheilinus undulatus,,II,,寵物,寵物,印度,,I_Stamp_5,
CUaF,CL-110,CL-039,2022/12/23,2022/12/24,羅玉婷,巫至陽,P88806,P84322,35279265,35279265,Cheilinus undulatus,,II,,販售,繁殖,印度,,I_Stamp_5,
CUbF,PL-045,PL-046,2022/10/19,2022/12/24,李久旦,王怡如,P84323,P843241, , ,Cheilinus undulatus,,II,,寵物,寵物,印度,,I_Stamp_5,
CIa,CL-040,CL-041,2022/12/28,2022/12/29,潘美雲,黎英傑,P34422,P34423,12345671,68689852,Carettochelys insculpta,,II,,販售,繁殖,巴布亞新幾內亞,,I_Stamp_5,
CIb,PL-047,PL-048,2022/12/28,2022/12/29,劉彥珮,陳薇廷,P34424,P34425, , ,Carettochelys insculpta,,II,,寵物,寵物,巴布亞新幾內亞,,I_Stamp_5,
CIaF,CL-040,CL-041,2022/12/28,2022/12/29,潘美雲,黎英傑,P34422,P34423,12345671,68689852,Carettochelys insculpta,Chelonia myda,II,,販售,繁殖,巴布亞新幾內亞,,I_Stamp_5,
CIbF,PL-047,PL-048,2021/11/18,2022/12/29,劉彥珮,陳薇廷,P34424,P34425, , ,Carettochelys insculpta,,II,,寵物,繁殖,巴布亞新幾內亞,,I_Stamp_5,
IIa,CL-023,CL-042,2023/6/7,2023/5/23,東方畢敗,方湘憲,P30232,P45893,23329891,28941932,Iguana iguana,,II,,販售,販售,美國,,I_Stamp_5,
IIb,PL-049,PL-050,2023/6/7,2023/5/23,林瑋玲,程人江,P45894,P45895, , ,Iguana iguana,,II,,寵物,寵物,美國,,I_Stamp_5,
IIaF,CL-023,CL-042,2023/6/7,2023/5/23,東方畢敗,方湘憲,P30232,P45893,23329891,28941932,Iguana iguana,,II,,販售,販售,美國,,I_Stamp_5,
IIbF,PL-049,PL-050,2023/6/7,2023/5/23,林瑋玲,程人江,P45894,P45895, , ,Iguana iguana,,III,II,寵物,寵物,美國,none,I_Stamp_5,
ADa,PL-143,PL-144,2023/4/11,2023/4/12,陳威宇,林恭聿,P37728,P37729,19385738,51390096,Andrias davidianus,,I,,非商業繁殖,非商業繁殖,日本,,I_Stamp_5,
ADb,PL-051,PL-052,2023/4/11,2023/4/12,盛紹蓮,林義謙,P37730,P37731, , ,Andrias davidianus,,I,,寵物,寵物,日本,,I_Stamp_5,
ADaF,CL-043,PL-144,2023/4/11,2023/4/12,陳威宇,林恭聿,Null,P37729,19385738,51390096,Andrias davidianus,,I,,非商業繁殖,非商業繁殖,日本,,I_Stamp_5,
ADbF,PL-051,PL-052,2023/4/11,2023/4/12,盛紹蓮,林義謙,P37730,P37731, , ,Ambystoma mexicanum,,I,,寵物,寵物,日本,,I_Stamp_5,
PBa,CL-045,CL-046,2023/4/6,2023/4/7,趙翠枝,鄭欣怡,P74627,P74628,68226219,73838260,Python bivittatus,,II,,繁殖,販售,柬埔寨,,I_Stamp_5,
PBb,PL-053,PL-054,2023/4/8,2023/4/9,鄭禾,徐則林,P74629,P74630, , ,Python bivittatus,,II,,寵物,寵物,柬埔寨,,I_Stamp_5,
PBaF,CL-045,CL-046,2023/4/6,2020/4/7,趙翠枝,鄭欣怡,P74627,P74628,68226219,73838260,Python bivittatus,,IIl,II,繁殖,販售,柬埔寨,,I_Stamp_5,
PBbF,PL-053,PL-054,2023/4/8,2023/4/9,鄭禾,徐則林,P74629,P74630, , ,Python bivittatus,,II,,寵物,寵物,柬埔寨,,I_Stamp_5,
SAa,CL-047,CL-048,2022/11/10,2022/11/11,錢多多,莫須愁,P28742,P28743,58841694,45869184,Strix aluco,,II,,販售,繁殖,英國,,I_Stamp_5,
SAb,PL-055,PL-056,2022/11/10,2022/11/11,金隼,陸檙記,P28744,P28745, , ,Strix aluco,,II,,寵物,寵物,英國,,I_Stamp_5,
SAaF,CL-047,CL-048,2022/11/10,2022/11/11,錢多多,莫須愁,P28742,Y28743,58841694,45869184,Strix aluco,,II,,販售,繁殖,英國,,I_Stamp_5,
SAbF,PL-055,PL-056,2022/11/10,2022/11/11,灰林鴞 ,陸檙記,P28744,P28745, , ,Strix aluco,,II,,寵物,寵物,英國,,I_Stamp_5,
RVa,PL-149,PL-150,2023/2/1,2023/2/2,尚兩度,游永豪,P77573,P38231,52638112,46713803,Rhinoplax vigil,,I,,非商業繁殖,非商業繁殖,塞內加爾,,I_Stamp_5,
RVb,PL-057,PL-058,2023/2/1,2023/2/2,李豪敬,徐富,P37183,P37184, , ,Rhinoplax vigil,,I,,寵物,寵物,塞內加爾,,I_Stamp_5,
RVaF,PL-149,PL-150,2023/2/1,2023/2/2,尚兩度,游永豪,P77573,P38231,52638112,46713803,Rhinoplax vigil,,II,I,非商業繁殖,非商業繁殖,塞內加爾,,I_Stamp_5,I_Stamp_6
RVbF,PL-057,PL-058,2023/2/1,2023/2/2,李豪敬,徐富,P37183,P37184, , ,Rhinoplax vigil,,I,,寵物,寵物,塞內加爾,,I_Stamp_5,
