AnimalID,License Number,License Number 2,Deadline,Deadline 2,Name,Name 2,ID1,ID2,Business Number,Business Number 2,Animal Name,Animal Name 2,Level,Level 2,Objective,Objective 2,Original,Original 1,Stamp And Sign,Stamp And Sign 2
GCa,CL-001,CL-002,2022/11/11,2022/11/12,洪中州,顏碧平,P11111,P20941,70528471,23654801,Garrulax canorus,,II,,販售,繁殖,臺灣,,I_Stamp_5,
GCb,PL-001,PL-002,2022/11/13,2022/11/14,鄭俊賢,吳君如,P89311,P78893,none,none,Garrulax canorus,,II,,寵物,,臺灣,,I_Stamp_5,
GCaF,CL-001,CL-002,2022/11/11,2022/11/12,洪中州,顏碧平,P11111,P20941,70528471,23654801,Garrulax canorus,,II,,販售,寵物,臺灣,,I_Stamp_5,
GCbF,PL-001,PL-002,2022/11/13,2022/4/14,鄭俊賢,吳君如,P89311,P78893,none,none,Garrulax canorus,,III,II,寵物,,臺灣,,I_Stamp_5,
SAa,CL-003,CL-004,2022/11/2,2022/11/3,吳燕祖,曾珮珊,P12342,P34562,50693062,10495042,Strix aluco,,II,,販售,繁殖,英國,,I_Stamp_5,
SAb,PL-003,PL-004,2022/11/4,2022/11/5,徐嘉櫻,張角,P11242,P19972,none,none,Strix aluco,,II,,寵物,,英國,,I_Stamp_5,
SAaF,CL-003,CL-004,2022/11/2,2022/11/3,吳燕祖,曾珮珊,P12342,P34562,50693062,10495042,Strix aluco,,II,,販售,繁殖,英國,,I_Stamp_5,I_Stamp_6
SAbF,PL-003,PL-004,2022/11/4,2022/11/5,徐嘉櫻,張角,P11242,P19972,none,none,Strix aluco,,II,,寵物,,英國,,I_Stamp_5,
ALa,CL-005,CL-006,2022/11/2,2022/11/3,梁静如,薛寶猜,P14223,P45623,45678963,10495042,Alauda arvensis,,II,,販售,繁殖,奧地利,,I_Stamp_5,
ALb,PL-005,PL-006,2022/11/4,2022/11/5,徐嘉旗,王莽之,P12243,P15673,none,none,Alauda arvensis,,II,,寵物,,奧地利,,I_Stamp_5,
ALaF,CL-005,PL-006,2022/11/2,2022/11/3,梁静如,薛寶猜,P14223,P45623,45678963,10495042,Alauda arvensis,,II,,販售,繁殖,奧地利,,I_Stamp_5,
ALbF,PL-005,PL-006,2022/11/4,2022/11/5,徐嘉旗,王莽之,P12243,P15673,none,none,Alauda arvensis,,II,,none,寵物,奧地利,,I_Stamp_5,
