AnimalID,License Number,License Number 2,Deadline,Deadline 2,Name,Name 2,ID1,ID2,Business Number,Business Number 2,Animal Name,Animal Name 2,Level,Level 2,Objective,Objective 2,Original,Original 1,Stamp And Sign,Stamp And Sign 2
EBa,PL-007,PL-008,2022/11/15,2022/11/16,劉學友,張德華,P29424,P79334,34467874,12240254,Emberiza aureola,,I,,非商業繁殖,非商業繁殖,海南,廣西,I_Stamp_5,
EBb,PL-009,PL-010,2022/11/15,2022/11/16,林莉友,魏泰書,P89454,P18444, , ,Emberiza aureola,,I,,寵物,寵物,海南,廣西,I_Stamp_5,
EBaF,CL-007,PL-008,2022/11/15,2022/11/16,劉學友,張德華,P29424,P79334,12240254,12240254,Emberiza aureola, ,I,,非商業繁殖,非商業繁殖,海南,廣西,I_Stamp_5,
EBbF,PL-009,PL-010,2022/11/15,2022/11/16,林莉友,魏泰書,P89454,12240254, , ,Emberiza aureola,,I,,寵物,寵物,海南,廣西,I_Stamp_5,
DAa,CL-007,CL-008,2023/1/3,2023/1/4,吳建康,劉彥祖,P12495,P32135,12954235,13847535,Dyscophus antongilii,,II,,販售,繁殖,馬達加斯加,,I_Stamp_5,
DAb,PL-011,PL-012,2023/1/3,2023/1/4,周佳登,彭定剛,P49535,P95895, , ,Dyscophus antongilii,,II,,寵物,寵物,馬達加斯加,,I_Stamp_5,
DAaF,CL-007,CL-008,2023/1/3,2023/1/4,吳建康,劉彥祖,P12495,P32135,12954235,13454535,Dyscophus antongilii,,III,II,販售,繁殖,馬達加斯加,,I_Stamp_5,
DAbF,PL-011,PL-012,2023/1/3,2023/1/4,周佳登,彭定剛,P49535,P95895, , ,Dyscophus antongilii,,II,,寵物,寵物,馬達加斯加,,I_Stamp_5,
HPa,CL-009,CL-010,2022/12/22,2022/12/23,日奈生海斗,羅玉婷,P88796,P88806,51357398,37535938,Hippocampus,,II,,販售,販售,澳洲,,I_Stamp_5,
HPb,PL-013,PL-014,2022/12/22,2022/12/23,黃大公,馬冬石,P88816,P88826, , ,Hippocampus,,II,,寵物,寵物,澳洲,,I_Stamp_5,
HPaF,CL-009,CL-010,2022/12/22,2022/12/23,日奈生海斗,羅玉婷,P88796,P88806,51357398,37535938,Hippocampus,,II,,販售,販售,澳洲,,I_Stamp_5,
HPbF,PL-013,PL-014,2022/12/22,2022/12/23,黃大公,馬冬石,P88816,P88826, , ,Hippocampus,,II,,寵物,寵物,澳洲,,I_Stamp_5,
AMa,CL-011,CL-012,2022/12/10,2022/12/11,陳夫子,魏角七,P88796,P88806,96697892,59430222,Ambystoma mexicanum,,II,,繁殖,販售,墨西哥,,I_Stamp_5,
AMb,PL-015,PL-016,2022/12/10,2022/12/11,潘安,王飛,P88816,P88826, , ,Ambystoma mexicanum,,II,,寵物,寵物,墨西哥,,I_Stamp_5,
AMaF,CL-011,CL-012,2022/12/10,2022/12/11,陳夫子,魏角七,P88796,P88806,96697892,59430222,Ambystoma mexicanum,,II,,繁殖,販售,墨西哥,,I_Stamp_5,
AMbF,PL-015,PL-016,2022/12/10,2022/12/11,潘安,王飛,P8B816,P88826, , ,Ambystoma mexicanum,,II,,寵物,寵物,墨西哥,,I_Stamp_5,
CHa,CL-013,CL-014,2022/11/17,2022/11/18,寧采晨,聶小情,P32347,P32357,33336987,48428451,Chelydra serpentina,,III,,販售,販售,加拿大,,I_Stamp_5,
CHb,PL-017,PL-018,2022/11/19,2022/11/20,張赤夏,蒲松鈴,P32367,P32377, , ,Chelydra serpentina,,III,,寵物,寵物,加拿大,,I_Stamp_5,
CHaF,CL-013,CL-014,2022/11/17,2022/11/18,寧采晨,聶小情,P32347,P32357,33336987,48428451,Chelydra serpentina,,III,,販售,販售,加拿大,,I_Stamp_5,I_Stamp_6
CHbF,PL-017,PL-018,2022/11/19,2022/11/20,張赤夏,蒲松鈴,P32367,P32377,23313990, ,Chelydra serpentina,,III,,販售,寵物,加拿大,,I_Stamp_5,
