AnimalID,License Number,License Number 2,Deadline,Deadline 2,Name,Name 2,ID1,ID2,Business Number,Business Number 2,Animal Name,Animal Name 2,Level,Level 2,Objective,Objective 2,Original,Original 1,Stamp And Sign,Stamp And Sign 2
BKa,CL-051,CL-052,2023/2/23,2023/2/24,劉海民,劉連,P78421,P78422,92718391,12691461,Brachypelma klaasi,,II,,販售,繁殖,墨西哥,,I_Stamp_5,
BKb,PL-059,PL-060,2023/2/23,2023/2/24,萬仁米,裴夫仁,P78423,P78424, , ,Brachypelma klaasi,,II,,寵物,寵物,墨西哥,,I_Stamp_5,
BKaF,CL-051,CL-052,2023/2/23,2023/2/24,劉海民,劉連,P78421,P78422,92718391,12691461,Brachypelma klaasi,,II,,販售,繁殖,墨西哥,,I_Stamp_5,
BKbF,PL-059,PL-060,2023/2/23,2023/2/24,萬仁米,裴夫仁,P78423,P78424, , ,Brachypelma klaasi,,II,,寵物,寵物,墨西哥,,I_Stamp_5,
PBa,CL-052,CL-053,2023/3/6,2023/3/7,林凱森,鄭生文,P12553,P12554,67743212,78575351,Python breitensteini ,Python bivittatus,II,,繁殖,販售,柬埔寨,,I_Stamp_5,
PBb,PL-061,PL-062,2023/3/6,2023/3/7,徐福,孟姜男,P12555,P12556, , ,Python bivittatus,,II,,寵物,寵物,柬埔寨,,I_Stamp_5,
PBaF,CL-052,CL-053,2023/3/6,2023/3/7,林凱森,鄭生文,P12553,P12554,67743212,78575351,Python bivittatus,,II,,繁殖,販售,柬埔寨,,I_Stamp_5,
PBbF,PL-061,PL-062,2022/8/11,2023/3/7,徐福,孟姜男,P12555,P12556, , ,Python bivittatus,,II,,寵物,寵物,柬埔寨,,I_Stamp_5,
AOa,PL-138,PL-154,2022/10/19,2023/3/1,牛大力,陳亦信,P48961,P73829,76991390,36787512,Amazona oratrix,,I,,非商業繁殖,非商業繁殖,瓜地馬拉,,I_Stamp_5,
AOb,PL-063,PL-064,2022/10/19,2023/3/1,黃酷然,朱紫晴,P73830,P73831, , ,Amazona oratrix,,I,,寵物,寵物,瓜地馬拉,,I_Stamp_5,
AOaF,PL-138,PL-154,2022/10/19,2023/3/1,牛大力,陳亦信,P48961,P73829,76991390,36787512,Amazona oratrix,,I,,非商業繁殖,販售,瓜地馬拉,,I_Stamp_5,
AObF,PL-063,PL-064,2022/10/19,2023/3/1,黃酷然,朱紫晴,P73830,P73831, , ,Amazona oratrix,,I,,寵物,寵物,牛店,瓜地馬拉,I_Stamp_5,
SPa,CL-055,CL-056,2022/10/6,2022/10/7,林于芸,李亞均,P67448,P67449,45345125,45125778,Stigmochelys pardalis,,II,,繁殖,繁殖,蘇丹,,I_Stamp_5,
SPb,PL-065,PL-066,2022/10/6,2022/10/7,李建雯,柯明憲,P67450,P67451, , ,Stigmochelys pardalis,,II,,寵物,寵物,蘇丹,,I_Stamp_5,
SPaF,CL-055,CL-056,2022/10/6,2022/10/7,林于芸,李亞均,P67448,P67449,45345125,45125778,Stigmochelys pardalis,,II,,繁殖,繁殖,蘇丹,,I_Stamp_5,
SPbF,PL-065,PL-066,2022/10/6,2022/10/7,李建雯,柯明憲,P67450,P67451, , ,Stigmochelys pardalis,,II,,寵物,寵物,蘇丹,,I_Stamp_5,
